name,location,id,longitude,latitude
民治地铁站D口,"114.040346,22.618021",BX10018656,114.040346,22.618021
深圳北站(地铁站),"114.030865,22.610815",BV10244305,114.030865,22.610815
深圳北站地铁站A口,"114.030287,22.610971",BX09906428,114.030287,22.610971
民治(地铁站),"114.040850,22.617545",BV10249940,114.04085,22.617545
深圳北站地铁站B口,"114.029821,22.610579",BX09906427,114.029821,22.610579
银泉(地铁站),"114.030188,22.635469",BV09298376,114.030188,22.635469
民治地铁站A口,"114.040864,22.617062",BX10018654,114.040864,22.617062
民治地铁站B口,"114.041291,22.617210",BX10018655,114.041291,22.61721
深圳北站地铁站D口,"114.031068,22.610182",BX09906429,114.031068,22.610182
深圳北站地铁站C口,"114.030606,22.609790",BX09906431,114.030606,22.60979
深圳北站地铁站出入口,"114.031518,22.610211",BX09906426,114.031518,22.610211
民康(地铁站),"114.037445,22.612160",BV09301375,114.037445,22.61216
机场地铁站E口,"113.814691,22.624029",BX09906602,113.814691,22.624029
机场地铁站C口,"113.814211,22.623402",BX09906603,113.814211,22.623402
机场(地铁站),"113.813663,22.624026",BV10527864,113.813663,22.624026
机场地铁站D口,"113.814098,22.624161",BX09906601,113.814098,22.624161
机场地铁站B口,"113.813561,22.623166",BX09906599,113.813561,22.623166
机场地铁站出入口,"113.813346,22.624425",BX09916196,113.813346,22.624425
机场地铁站A口,"113.812416,22.623803",BX09906600,113.812416,22.623803
后瑞(地铁站),"113.835449,22.628835",BV10244581,113.835449,22.628835
后瑞地铁站C口,"113.834715,22.629143",BX10018527,113.834715,22.629143
后瑞地铁站D口,"113.835302,22.628250",BX10018529,113.835302,22.62825
后瑞地铁站B口,"113.835413,22.629503",BX10018528,113.835413,22.629503
后瑞地铁站A口,"113.835950,22.628637",BX10018526,113.83595,22.628637
景龙(地铁站),"114.027624,22.646432",BV09259571,114.027624,22.646432
龙华地铁站A口,"114.023049,22.651825",BX10018459,114.023049,22.651825
龙华(地铁站),"114.022419,22.651629",B0L2YLWN05,114.022419,22.651629
龙华地铁站B口,"114.022807,22.652100",BX10018460,114.022807,22.6521
龙华地铁站D口,"114.022151,22.651095",BX10018461,114.022151,22.651095
龙华地铁站C口,"114.021839,22.651407",BX10018462,114.021839,22.651407
油福(地铁站),"114.032753,22.642128",BV09260350,114.032753,22.642128
龙华公园(地铁站),"114.019548,22.657329",BV09259575,114.019548,22.657329
油松(地铁站),"114.038572,22.640214",BV09117292,114.038572,22.640214
上芬(地铁站),"114.016637,22.640394",BV10527875,114.016637,22.640394
上芬地铁站B口,"114.016443,22.641048",BX10029441,114.016443,22.641048
上芬地铁站A口,"114.017239,22.639909",BX10029442,114.017239,22.639909
清湖地铁站D口,"114.036397,22.663184",BX10018437,114.036397,22.663184
清湖地铁站C1口,"114.036074,22.663539",BX10018439,114.036074,22.663539
上芬地铁站C口,"114.015962,22.640844",BX10029444,114.015962,22.640844
上芬地铁站D口,"114.016732,22.639649",BX10029443,114.016732,22.639649
清湖地铁站C2口,"114.036136,22.663752",BX10023684,114.036136,22.663752
清湖北(地铁站),"114.040417,22.672087",BV10877299,114.040417,22.672087
清湖北地铁站B口,"114.040338,22.672669",BX10030091,114.040338,22.672669
清湖北地铁站C口,"114.039946,22.671646",BX10030093,114.039946,22.671646
清湖北地铁站A口,"114.040908,22.672543",BX10030092,114.040908,22.672543
清湖北地铁站D口,"114.040348,22.671498",BX10030090,114.040348,22.671498
竹村地铁站D口,"114.040289,22.685436",BX10030112,114.040289,22.685436
竹村地铁站C口,"114.039973,22.686288",BX10030113,114.039973,22.686288
竹村(地铁站),"114.040309,22.686728",BV10877294,114.040309,22.686728
清湖地铁站B1口,"114.036629,22.664695",BX10018440,114.036629,22.664695
清湖(地铁站),"114.036538,22.664085",BV10249979,114.036538,22.664085
竹村地铁站B1口,"114.040137,22.686917",BX10030115,114.040137,22.686917
竹村地铁站A口,"114.040645,22.687211",BX10030111,114.040645,22.687211
竹村地铁站B2口,"114.040264,22.687481",BX10030114,114.040264,22.687481
清湖地铁站A1口,"114.037040,22.664528",BX10018438,114.03704,22.664528
清湖地铁站B2口,"114.036749,22.664710",BX10023685,114.036749,22.66471
清湖地铁站出入口,"114.036944,22.664838",BX10025133,114.036944,22.664838
清湖地铁站A2口,"114.036891,22.664652",BX10023683,114.036891,22.664652
茜坑地铁站B口,"114.041209,22.698810",BX10030076,114.041209,22.69881
茜坑(地铁站),"114.041087,22.697256",BV10877293,114.041087,22.697256
茜坑地铁站A口,"114.041711,22.698712",BX10030075,114.041711,22.698712
茜坑地铁站C口,"114.040910,22.697427",BX10030074,114.04091,22.697427
茜坑地铁站F口,"114.041348,22.697337",BX10030073,114.041348,22.697337
茜坑地铁站D口,"114.040469,22.695909",BX10030078,114.040469,22.695909
茜坑地铁站E口,"114.040930,22.695821",BX10030077,114.04093,22.695821
库坑(地铁站),"114.033544,22.737340",BV09117279,114.033544,22.73734
黎光(地铁站),"114.038447,22.757226",BV09117283,114.038447,22.757226
益田地铁站A口,"114.051587,22.515934",BX10018199,114.051587,22.515934
益田地铁站B口,"114.051703,22.516452",BX10018197,114.051703,22.516452
益田(地铁站),"114.050987,22.516287",BV10249967,114.050987,22.516287
福保地铁站E1口,"114.057359,22.508638",BX10036584,114.057359,22.508638
福保(地铁站),"114.056583,22.508173",BV10793836,114.056583,22.508173
福保地铁站D口,"114.058447,22.508803",BX10036586,114.058447,22.508803
福保地铁站E2口,"114.056938,22.508586",BX10036582,114.056938,22.508586
福田口岸地铁站E口,"114.064817,22.515162",BX09906661,114.064817,22.515162
福保地铁站E3口,"114.056290,22.508453",BX10036585,114.05629,22.508453
福保地铁站E4口,"114.056020,22.508367",BX10036587,114.05602,22.508367
益田地铁站D口,"114.050601,22.516317",BX10018200,114.050601,22.516317
益田地铁站C口,"114.050742,22.516800",BX10018198,114.050742,22.5168
益田地铁站出入口,"114.050700,22.515877",BX09904077,114.0507,22.515877
福保地铁站C口,"114.058214,22.508084",BX10036583,114.058214,22.508084
福保地铁站F1口,"114.054970,22.508212",BX10030127,114.05497,22.508212
福保地铁站B口,"114.056620,22.507609",BX10030130,114.05662,22.507609
福保地铁站F2口,"114.054616,22.508165",BX10030128,114.054616,22.508165
福保地铁站A口,"114.054628,22.507730",BX10030129,114.054628,22.50773
皇岗村地铁站A口,"114.058463,22.522944",BX09906778,114.058463,22.522944
皇岗村(地铁站),"114.059823,22.523138",BV10602483,114.059823,22.523138
皇岗村地铁站E口,"114.058123,22.523286",BX09906780,114.058123,22.523286
福田口岸(地铁站),"114.067731,22.515176",BV10243512,114.067731,22.515176
福田口岸地铁站D2口,"114.066810,22.517500",BX09906663,114.06681,22.5175
石厦地铁站G口,"114.054601,22.522885",BX10021791,114.054601,22.522885
皇岗村地铁站B2口,"114.061113,22.523000",BX09906779,114.061113,22.523
皇岗村地铁站B1口,"114.060762,22.523004",BX09906774,114.060762,22.523004
皇岗村地铁站D口,"114.060305,22.523299",BX09906777,114.060305,22.523299
石厦地铁站F口,"114.052771,22.522773",BX10021793,114.052771,22.522773
石厦地铁站A口,"114.053838,22.523226",BX10018231,114.053838,22.523226
石厦(地铁站),"114.053616,22.523708",BV10243850,114.053616,22.523708
皇岗村地铁站C2口,"114.061398,22.523323",BX09906776,114.061398,22.523323
皇岗村地铁站C1口,"114.061001,22.523321",BX09906775,114.061001,22.523321
福田口岸地铁站D1口,"114.067833,22.516600",BX09906659,114.067833,22.5166
石厦地铁站E口,"114.052529,22.523138",BX10021792,114.052529,22.523138
福田口岸地铁站C口,"114.068572,22.515648",BX09906658,114.068572,22.515648
福民地铁站D口,"114.064722,22.522442",BX09906277,114.064722,22.522442
福田口岸地铁站B出口,"114.068930,22.515780",BX09906662,114.06893,22.51578
石厦地铁站C口,"114.053431,22.524284",BX10018232,114.053431,22.524284
福民地铁站A口,"114.065354,22.522537",BX09906271,114.065354,22.522537
福田口岸地铁站A口,"114.069356,22.516011",BX09906660,114.069356,22.516011
福民地铁站C口,"114.064263,22.523696",BX09906276,114.064263,22.523696
福民(地铁站),"114.065915,22.523226",BV10249907,114.065915,22.523226
福民地铁站出入口,"114.065380,22.522700",BX09906266,114.06538,22.5227
福民地铁站G口,"114.065224,22.523396",BX09906270,114.065224,22.523396
福民地铁站B口,"114.065087,22.523882",BX09906267,114.065087,22.523882
福民地铁站F口,"114.065717,22.523947",BX09906268,114.065717,22.523947
落马洲(地铁站),"114.070889,22.511861",BV10316441,114.070889,22.511861
福民地铁站E口,"114.067163,22.522642",BX09906273,114.067163,22.522642
落马洲地铁站出入口,"114.070758,22.512205",BX09904195,114.070758,22.512205
落马洲地铁站出口,"114.071219,22.512223",BX09904194,114.071219,22.512223
福民地铁站H口,"114.068509,22.523686",BX09906272,114.068509,22.523686
福民地铁站K口,"114.067986,22.524734",BX09906278,114.067986,22.524734
沙尾地铁站C口,"114.043323,22.520728",BX09906425,114.043323,22.520728
福民地铁站J3口,"114.067940,22.526234",BX09906269,114.06794,22.526234
福民地铁站J1口,"114.068420,22.526255",BX09906274,114.06842,22.526255
福民地铁站J2口,"114.067895,22.526964",BX09906275,114.067895,22.526964
购物公园地铁站H口,"114.052680,22.534454",BX10018201,114.05268,22.534454
购物公园地铁站G口,"114.053227,22.533692",BX10018203,114.053227,22.533692
购物公园地铁站F口,"114.053377,22.533378",BX10018205,114.053377,22.533378
购物公园地铁站C口,"114.054104,22.534426",BX10018208,114.054104,22.534426
购物公园(地铁站),"114.054581,22.534655",BV10248569,114.054581,22.534655
购物公园地铁站B口,"114.054277,22.534945",BX10018206,114.054277,22.534945
购物公园地铁站E口,"114.053410,22.532712",BX10018204,114.05341,22.532712
购物公园地铁站出入口,"114.054277,22.534246",BX09914627,114.054277,22.534246
福田地铁站1号口,"114.052441,22.538931",BX09906728,114.052441,22.538931
购物公园地铁站D口,"114.055078,22.534454",BX10018207,114.055078,22.534454
购物公园地铁站A口,"114.055497,22.534967",BX10018202,114.055497,22.534967
购物公园地铁站出入口,"114.055206,22.534302",BX09904085,114.055206,22.534302
福田地铁站3A口,"114.053881,22.538961",BX09906726,114.053881,22.538961
福田(地铁站),"114.052879,22.540087",BV10249929,114.052879,22.540087
福田地铁站2A口,"114.053416,22.539457",BX09906731,114.053416,22.539457
福田地铁站3B口,"114.054482,22.538961",BX09906745,114.054482,22.538961
福田地铁站2B口,"114.053995,22.539455",BX09906737,114.053995,22.539455
福田地铁站8号口,"114.056052,22.537280",BX09906721,114.056052,22.53728
福田地铁站9号口,"114.056721,22.535114",BX09906744,114.056721,22.535114
福田地铁站5号口,"114.055028,22.538953",BX09906712,114.055028,22.538953
福田地铁站11号口,"114.056678,22.536975",BX09906708,114.056678,22.536975
福田地铁站10号口,"114.056603,22.536474",BX09906735,114.056603,22.536474
福田地铁站29A口,"114.053620,22.540202",BX09906720,114.05362,22.540202
福田地铁站32号口,"114.051978,22.540826",BX09906723,114.051978,22.540826
福田地铁站29B口,"114.053283,22.540193",BX09906730,114.053283,22.540193
福田地铁站30B出口,"114.053290,22.540389",BX09906743,114.05329,22.540389
福田地铁站31号口,"114.053169,22.540635",BX09906738,114.053169,22.540635
福田地铁站12A口,"114.056710,22.537832",BX09906713,114.05671,22.537832
福田地铁站7号口,"114.056006,22.538485",BX09906714,114.056006,22.538485
福田地铁站30A入口,"114.053618,22.540394",BX09906742,114.053618,22.540394
福田地铁站4A口,"114.055189,22.539383",BX09906740,114.055189,22.539383
福田地铁站4B口,"114.055181,22.539516",BX09906727,114.055181,22.539516
福田地铁站6号口,"114.055894,22.538938",BX09906733,114.055894,22.538938
福田地铁站13号口,"114.056971,22.538061",BX09906709,114.056971,22.538061
福田地铁站12B口,"114.056707,22.538485",BX09906734,114.056707,22.538485
福田地铁站28号口,"114.054799,22.540665",BX09906725,114.054799,22.540665
福田地铁站14号口,"114.057037,22.538822",BX09906736,114.057037,22.538822
福田地铁站16号口,"114.056706,22.540449",BX09906722,114.056706,22.540449
福田地铁站27号口,"114.055882,22.541248",BX09906741,114.055882,22.541248
福田地铁站26号口,"114.055641,22.541297",BX09906732,114.055641,22.541297
福田地铁站17号口,"114.056667,22.540988",BX09906711,114.056667,22.540988
岗厦地铁站B口,"114.067212,22.535436",BX09906841,114.067212,22.535436
岗厦地铁站出入口,"114.066841,22.535186",BX09906847,114.066841,22.535186
会展中心地铁站A1口,"114.062698,22.535180",BX09906770,114.062698,22.53518
岗厦地铁站C口,"114.067256,22.534640",BX09906846,114.067256,22.53464
岗厦(地铁站),"114.068190,22.534854",BV10243519,114.06819,22.534854
岗厦北地铁站9号口,"114.067559,22.536859",BX09906306,114.067559,22.536859
会展中心地铁站出入口,"114.062056,22.534422",BX09906769,114.062056,22.534422
岗厦地铁站D口,"114.067765,22.533225",BX09906848,114.067765,22.533225
会展中心地铁站E口,"114.061524,22.534615",BX09906766,114.061524,22.534615
岗厦地铁站A口,"114.068765,22.535073",BX09906843,114.068765,22.535073
会展中心地铁站A2口,"114.061545,22.535146",BX09906767,114.061545,22.535146
