name,location,id,longitude,latitude
沁园公园(公交站),"113.909703,22.554020",BV10242324,113.909703,22.55402
宝安人民医院(公交站),"113.913111,22.564983",BV10244070,113.913111,22.564983
宝安党校(公交站),"113.913728,22.566897",BV10244028,113.913728,22.566897
洪浪居委(公交站),"113.916903,22.568027",BV10249186,113.916903,22.568027
同乐学校(公交站),"113.921195,22.562993",BV10243550,113.921195,22.562993
同乐村(公交站),"113.921740,22.565339",BV10243548,113.92174,22.565339
宝安人民医院1(公交站),"113.912317,22.561925",BV11654119,113.912317,22.561925
乐尚林居公交首末站(公交站),"113.921542,22.566919",BV11573672,113.921542,22.566919
宝安中学外国语学校(公交站),"113.912336,22.560600",BV09175792,113.912336,22.5606
新安公园地铁站(公交站),"113.910424,22.562711",BV09085212,113.910424,22.562711
宝安中学(公交站),"113.919943,22.569788",BV10388244,113.919943,22.569788
湖滨花园(公交站),"113.914937,22.558223",BV09348816,113.914937,22.558223
同乐海关(公交站),"113.913695,22.570506",BV11171970,113.913695,22.570506
建贤路(公交站),"113.924358,22.563759",BV09312657,113.924358,22.563759
天悦壹号公交总站(公交站),"113.913209,22.570932",BV11171232,113.913209,22.570932
宝安1990(公交站),"113.909750,22.559768",BV11633799,113.90975,22.559768
前进临华路口(公交站),"113.916847,22.556469",BV09120440,113.916847,22.556469
兴华幼儿园(公交站),"113.908491,22.567367",BV09347095,113.908491,22.567367
宝安灵芝小学(公交站),"113.913263,22.572127",BV10917378,113.913263,22.572127
宝安海关大厦(公交站),"113.914991,22.572700",BV10934577,113.914991,22.5727
中山园(公交站),"113.923764,22.558988",BV10243551,113.923764,22.558988
灵芝园新村(公交站),"113.907631,22.565343",BV10621589,113.907631,22.565343
中山园场站(公交站),"113.924730,22.559383",BV10670114,113.92473,22.559383
灵芝园(公交站),"113.909696,22.570365",BV10246448,113.909696,22.570365
中山园北总站(公交站),"113.925386,22.560447",BV11584282,113.925386,22.560447
三区金融街(公交站),"113.909710,22.558121",BV10246397,113.90971,22.558121
同乐南地铁站(公交站),"113.920740,22.556249",BV09085586,113.92074,22.556249
豪方天际总站(公交站),"113.920762,22.556006",BV11211401,113.920762,22.556006
建行宝安支行(公交站),"113.907738,22.560003",BV10968099,113.907738,22.560003
宝安法院(公交站),"113.911469,22.556349",BV10246399,113.911469,22.556349
南山农批市场(公交站),"113.924349,22.557391",BV10243552,113.924349,22.557391
高新奇工业区(公交站),"113.921189,22.573433",BV10246464,113.921189,22.573433
前进同安路口(公交站),"113.923043,22.556185",BV10608801,113.923043,22.556185
洪浪北地铁站(公交站),"113.908568,22.572691",BV10244149,113.908568,22.572691
飞扬科技园(公交站),"113.924067,22.572999",BV11531410,113.924067,22.572999
TCL国际E城总站(公交站),"113.925718,22.571667",BV11297318,113.925718,22.571667
宝安区人民检察院(公交站),"113.909404,22.555833",BV09367708,113.909404,22.555833
宝城三区总站(公交站),"113.907984,22.555971",BV10243973,113.907984,22.555971
创兴达商务中心(公交站),"113.917357,22.583407",BV11344082,113.917357,22.583407
中粮创芯公园北(公交站),"113.918316,22.581302",BV11312148,113.918316,22.581302
兴东地铁站A口(公交站),"113.919461,22.581281",BV11531406,113.919461,22.581281
兴东地铁站(公交站),"113.920512,22.583040",BV10244073,113.920512,22.58304
创业一村(公交站),"113.915195,22.579427",BV10246978,113.915195,22.579427
信义领御公交首末站(公交站),"113.917969,22.578246",BV09422453,113.917969,22.578246
中粮创芯公园(公交站),"113.916686,22.577823",BV11310120,113.916686,22.577823
尖岗山壹号花园(公交站),"113.918819,22.586626",BV09289500,113.918819,22.586626
鸿威工业区(公交站),"113.920744,22.579999",BV10738673,113.920744,22.579999
新安综合执法队(公交站),"113.913208,22.578388",BV11317998,113.913208,22.578388
雪花啤酒厂(公交站),"113.922234,22.584705",BV11312149,113.922234,22.584705
宝安残联(公交站),"113.911176,22.583455",BV10246977,113.911176,22.583455
新安税务(公交站),"113.913361,22.577023",BV11074539,113.913361,22.577023
美生慧谷(公交站),"113.909964,22.581639",BV09088140,113.909964,22.581639
宝石路口(公交站),"113.922709,22.585930",BV10246530,113.922709,22.58593
庭威工业园(公交站),"113.919431,22.576224",BV10244264,113.919431,22.576224
中粮创芯公园(招呼站)(公交站),"113.918544,22.576079",BV11542867,113.918544,22.576079
大宝北公交总站(公交站),"113.909378,22.582300",BV09264720,113.909378,22.5823
华测检测(公交站),"113.923310,22.579656",BV10388132,113.92331,22.579656
临时站(公交站),"113.909322,22.582355",BV09339828,113.909322,22.582355
大宝海圳路口(公交站),"113.916185,22.575505",BV10244071,113.916185,22.575505
庭威产业园(招呼站)(公交站),"113.922665,22.578082",BV11647659,113.922665,22.578082
大家好广场(公交站),"113.909113,22.579615",BV10246410,113.909113,22.579615
曦城路口(公交站),"113.909466,22.585577",BV10248695,113.909466,22.585577
留仙一路(公交站),"113.919359,22.575250",BV10463215,113.919359,22.57525
新安67区安顺达场站(公交站),"113.919609,22.575237",BV10640233,113.919609,22.575237
海安苑(公交站),"113.919998,22.589510",BV11337408,113.919998,22.58951
稻兴环球科创中心(招呼站)(公交站),"113.919281,22.575333",BV11531404,113.919281,22.575333
长丰工业园(公交站),"113.925500,22.581558",BV10244273,113.9255,22.581558
留仙三路(公交站),"113.925491,22.582708",BV10244263,113.925491,22.582708
中粮商务公园(公交站),"113.924060,22.576698",BV11130894,113.92406,22.576698
未来之光家园公交首末站(公交站),"113.909081,22.588075",BV09440542,113.909081,22.588075
新安交警中队(公交站),"113.909120,22.576156",BV10915380,113.90912,22.576156
未来之光(公交站),"113.909555,22.589401",BV09236953,113.909555,22.589401
宏发玺玥大厦公交首末站(公交站),"113.909318,22.574819",BV09427721,113.909318,22.574819
润恒电子厂(公交站),"113.925217,22.575530",BV11531408,113.925217,22.57553
高新奇南门(公交站),"113.925705,22.573942",BV10388122,113.925705,22.573942
宝安新和公交总站(公交站),"113.802323,22.660461",BV09218982,113.802323,22.660461
宝安国防基地(公交站),"113.920825,22.595777",BV10246528,113.920825,22.595777
铁岗水库(公交站),"113.924384,22.602826",BV10407217,113.924384,22.602826
新世界名镌(公交站),"113.911003,22.592840",BV10882705,113.911003,22.59284
大兴果场(公交站),"113.925881,22.606298",BV10246526,113.925881,22.606298
曦城五号门(公交站),"113.907558,22.593520",BV11107317,113.907558,22.59352
宝安笔架山(公交站),"113.925673,22.620022",BV10246525,113.925673,22.620022
牛成村1(公交站),"113.925565,22.612990",BV09200589,113.925565,22.61299
牛成村(公交站),"113.925531,22.611815",BV11329225,113.925531,22.611815
谷峰石材厂(公交站),"113.925766,22.626225",BV10409273,113.925766,22.626225
创维工业园(公交站),"113.919127,22.638404",BV10387792,113.919127,22.638404
创维路口(公交站),"113.922751,22.638771",BV10246817,113.922751,22.638771
创维天桥(公交站),"113.922900,22.644062",BV10242366,113.9229,22.644062
宝华油站(公交站),"113.926228,22.639319",BV10660622,113.926228,22.639319
宝石科技园(公交站),"113.925890,22.634588",BV10246522,113.92589,22.634588
应人石路口(公交站),"113.925812,22.640711",BV10242363,113.925812,22.640711
创维天桥1(公交站),"113.921783,22.645296",BV11073768,113.921783,22.645296
笔架山石场(公交站),"113.926311,22.631348",BV10246523,113.926311,22.631348
